code,상품명,가격,컬러,카테고리,같은디자인그룹,포인트1,포인트2,추천문구
JINA-S919,아이보리 원숄더 드레이프 원피스,131000,아이보리,MINI,AUG2026-07,한쪽 어깨 라인을 살리는 원숄더,흐르듯 떨어지는 드레이프 라인,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
JINA-S920,핑크 원숄더 드레이프 원피스,131000,핑크,MINI,AUG2026-07,한쪽 어깨 라인을 살리는 원숄더,흐르듯 떨어지는 드레이프 라인,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S856,핀턱 나시탑,72000,아이보리/블랙,TOP,AUG2026-14,전체 실루엣을 깔끔하게 잡아주는 디자인,사진과 영상에 잘 어울리는 포인트 스타일,스커트나 팬츠에 포인트 상의로 매치하기 좋습니다.
TIA-S857,플라워 매듭 나시탑,72000,아이보리/블랙,TOP,AUG2026-15,전체 실루엣을 깔끔하게 잡아주는 디자인,사진과 영상에 잘 어울리는 포인트 스타일,스커트나 팬츠에 포인트 상의로 매치하기 좋습니다.
TIA-S858,아이보리 시퀸 쉬폰 나시 블라우스,63000,아이보리,TOP,,은은한 반짝임을 더하는 시퀸 포인트,가볍게 흐르는 쉬폰 소재감,스커트나 팬츠에 포인트 상의로 매치하기 좋습니다.
TIA-S859,플라워 미니 스커트,,네이비 / 블랙,SKIRT,,전체 실루엣을 깔끔하게 잡아주는 디자인,사진과 영상에 잘 어울리는 포인트 스타일,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S860,블랙 프릴 쉬폰 벨트 미니원피스,72000,블랙,MINI,,움직일 때 볼륨감이 살아나는 프릴 디테일,가볍게 흐르는 쉬폰 소재감,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S861,오렌지 플라워 쉬폰 캉캉 롱드레스,104000,오렌지,LONG,,가볍게 흐르는 쉬폰 소재감,특별한 자리에서 존재감을 주는 롱 실루엣,"행사, 무대, 촬영처럼 분위기가 필요한 날 추천드립니다."
TIA-S862,아이보리 레이스 홀터 쉬폰 미니원피스,75000,아이보리,MINI,AUG2026-19,목선을 길어 보이게 잡아주는 홀터넥,섬세하고 여성스러운 레이스 포인트,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S863,블랙 레이스 홀터 쉬폰 미니원피스,75000,블랙,MINI,AUG2026-19,목선을 길어 보이게 잡아주는 홀터넥,섬세하고 여성스러운 레이스 포인트,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S864,화이트 레이스 크롭 투피스,,아이보리,TWO PIECE,AUG2026-20,섬세하고 여성스러운 레이스 포인트,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S865,블랙 레이스 크롭 투피스,,블랙,TWO PIECE,AUG2026-20,섬세하고 여성스러운 레이스 포인트,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S866,아이보리 플라워 코르셋 투피스,153000,아이보리,TWO PIECE,,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S867,그레이 셔링 홀터 미니원피스,54000,그레이,MINI,,목선을 길어 보이게 잡아주는 홀터넥,바디 라인을 자연스럽게 잡아주는 셔링,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S868,아이보리 컷아웃 원숄더 미디원피스,153000,아이보리,MIDI,AUG2026-23,한쪽 어깨 라인을 살리는 원숄더,과하지 않게 시선을 잡는 컷아웃 포인트,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
TIA-S869,블랙 컷아웃 원숄더 미디원피스,153000,블랙,MIDI,AUG2026-23,한쪽 어깨 라인을 살리는 원숄더,과하지 않게 시선을 잡는 컷아웃 포인트,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
TIA-S870,아이보리 트위드 버튼 미니원피스,237000,아이보리,MINI,AUG2026-24,고급스러운 질감을 더하는 트위드 소재감,다리 라인을 경쾌하게 살려주는 미니 기장,사진에 포인트가 잘 잡히는 특별한 날의 미니룩입니다.
TIA-S871,민트 트위드 버튼 미니원피스,237000,민트,MINI,AUG2026-24,고급스러운 질감을 더하는 트위드 소재감,다리 라인을 경쾌하게 살려주는 미니 기장,사진에 포인트가 잘 잡히는 특별한 날의 미니룩입니다.
TIA-S872,블랙 셔링 홀터 미니원피스,54000,블랙,MINI,,목선을 길어 보이게 잡아주는 홀터넥,바디 라인을 자연스럽게 잡아주는 셔링,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S873,아이보리 트위드 홀터 투피스,320000,아이보리,TWO PIECE,,목선을 길어 보이게 잡아주는 홀터넥,고급스러운 질감을 더하는 트위드 소재감,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S874,베이지 진주라인 트위드 미니원피스,237000,베이지,MINI,,고급스러운 질감을 더하는 트위드 소재감,여성스러운 분위기를 더하는 진주 포인트,사진에 포인트가 잘 잡히는 특별한 날의 미니룩입니다.
TIA-S875,스트랩 플리츠 미니원피스,,라벤더핑크 / 핑크,MINI,,움직임에 따라 우아하게 퍼지는 플리츠 라인,다리 라인을 경쾌하게 살려주는 미니 기장,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S876,세피아 쉬폰 투피스,,베이지 / 아이보리,TWO PIECE,,가볍게 흐르는 쉬폰 소재감,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S877,아이보리 진주스트랩 캉캉 미니원피스,300000,아이보리,MINI,,여성스러운 분위기를 더하는 진주 포인트,다리 라인을 경쾌하게 살려주는 미니 기장,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S891,베이지 드레이프 오프숄더 미니원피스,68000,베이지,MINI,,어깨선을 드러내는 오프숄더 디자인,흐르듯 떨어지는 드레이프 라인,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S892,아이보리 진주라인 트위드 미니원피스,232000,아이보리,MINI,AUG2026-30,고급스러운 질감을 더하는 트위드 소재감,여성스러운 분위기를 더하는 진주 포인트,사진에 포인트가 잘 잡히는 특별한 날의 미니룩입니다.
TIA-S893,핑크 진주라인 트위드 미니원피스,232000,핑크,MINI,AUG2026-30,고급스러운 질감을 더하는 트위드 소재감,여성스러운 분위기를 더하는 진주 포인트,사진에 포인트가 잘 잡히는 특별한 날의 미니룩입니다.
TIA-S894,아이보리 블랙리본 플리츠 롱드레스,86000,아이보리,LONG,,사랑스러운 무드를 더하는 리본 디테일,움직임에 따라 우아하게 퍼지는 플리츠 라인,"행사, 무대, 촬영처럼 분위기가 필요한 날 추천드립니다."
TIA-S895,아이보리 레이스 프릴 머메이드 투피스,144000,아이보리,TWO PIECE,,움직일 때 볼륨감이 살아나는 프릴 디테일,섬세하고 여성스러운 레이스 포인트,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S896,아이보리 골드버튼 트위드 미니원피스,88000,아이보리,MINI,,고급스러운 질감을 더하는 트위드 소재감,다리 라인을 경쾌하게 살려주는 미니 기장,사진에 포인트가 잘 잡히는 특별한 날의 미니룩입니다.
TIA-S897,프릴카라 미니 투피스,88000,민트,TWO PIECE,AUG2026-34,움직일 때 볼륨감이 살아나는 프릴 디테일,단정하게 얼굴선을 정리해주는 카라 디자인,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S898,프릴카라 미니 투피스,88000,그레이,TWO PIECE,AUG2026-34,움직일 때 볼륨감이 살아나는 프릴 디테일,단정하게 얼굴선을 정리해주는 카라 디자인,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S899,프릴카라 미니 투피스,88000,블랙,TWO PIECE,AUG2026-34,움직일 때 볼륨감이 살아나는 프릴 디테일,단정하게 얼굴선을 정리해주는 카라 디자인,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S900,아이보리 큐빅 오프숄더 미니원피스,81000,아이보리,MINI,,어깨선을 드러내는 오프숄더 디자인,빛을 받을 때 포인트가 되는 큐빅 장식,사진에 포인트가 잘 잡히는 특별한 날의 미니룩입니다.
TIA-S901,아이보리 프리미엄 큐빅 오프숄더 미니원피스,104000,아이보리,MINI,,어깨선을 드러내는 오프숄더 디자인,빛을 받을 때 포인트가 되는 큐빅 장식,사진에 포인트가 잘 잡히는 특별한 날의 미니룩입니다.
TIA-S902,리본벨트 카라 미니원피스,72000,소라배색,MINI,,사랑스러운 무드를 더하는 리본 디테일,단정하게 얼굴선을 정리해주는 카라 디자인,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S903,그레이 꼬임스트랩 니트 미니원피스,63000,그레이,MINI,,부드럽게 몸에 감기는 니트 소재감,다리 라인을 경쾌하게 살려주는 미니 기장,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S904,모카 꼬임스트랩 니트 롱원피스,72000,모카,LONG,,부드럽게 몸에 감기는 니트 소재감,특별한 자리에서 존재감을 주는 롱 실루엣,"행사, 무대, 촬영처럼 분위기가 필요한 날 추천드립니다."
TIA-S905,아이보리 리본 튜브탑 쇼츠 투피스,320000,아이보리,TWO PIECE,AUG2026-40,사랑스러운 무드를 더하는 리본 디테일,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S906,다크그레이 리본 튜브탑 쇼츠 투피스,320000,다크그레이,TWO PIECE,AUG2026-40,사랑스러운 무드를 더하는 리본 디테일,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S921,아이보리 블랙리본 레이스 투피스,109000,아이보리/블랙,TWO PIECE,AUG2026-41,사랑스러운 무드를 더하는 리본 디테일,섬세하고 여성스러운 레이스 포인트,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S922,블랙리본 레이스 투피스,109000,블랙/아이보리,TWO PIECE,AUG2026-41,사랑스러운 무드를 더하는 리본 디테일,섬세하고 여성스러운 레이스 포인트,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S923,핑크 블랙리본 레이스 투피스,109000,핑크,TWO PIECE,AUG2026-41,사랑스러운 무드를 더하는 리본 디테일,섬세하고 여성스러운 레이스 포인트,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S924,브로치 카라 투피스,100000,화이트,TWO PIECE,AUG2026-42,단정하게 얼굴선을 정리해주는 카라 디자인,상단에 포인트를 주는 브로치 장식,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S925,브로치 카라 투피스,100000,크림/베이지,TWO PIECE,AUG2026-42,단정하게 얼굴선을 정리해주는 카라 디자인,상단에 포인트를 주는 브로치 장식,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S926,브로치 카라 투피스,100000,블랙,TWO PIECE,AUG2026-42,단정하게 얼굴선을 정리해주는 카라 디자인,상단에 포인트를 주는 브로치 장식,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S927,베이지 카라 베스트 시퀸 투피스,330000,베이지,TWO PIECE,,은은한 반짝임을 더하는 시퀸 포인트,단정하게 얼굴선을 정리해주는 카라 디자인,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S928,체인 프린트 나시탑 세트,88000,아이보리,TWO PIECE,AUG2026-44,시선을 잡아주는 프린트 패턴,,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S929,체인 프린트 나시탑 세트,88000,블랙/베이지,TWO PIECE,AUG2026-44,시선을 잡아주는 프린트 패턴,,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S930,도트 프린트 나시탑 세트,88000,소라,TWO PIECE,,시선을 잡아주는 프린트 패턴,러블리한 분위기의 도트 패턴,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
TIA-S931,리본 플레어 미니원피스,126000,아이보리,MINI,AUG2026-46,사랑스러운 무드를 더하는 리본 디테일,다리 라인을 경쾌하게 살려주는 미니 기장,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S932,리본 플레어 미니원피스,126000,옐로우,MINI,AUG2026-46,사랑스러운 무드를 더하는 리본 디테일,다리 라인을 경쾌하게 살려주는 미니 기장,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S933,리본 플레어 미니원피스,126000,소라,MINI,AUG2026-46,사랑스러운 무드를 더하는 리본 디테일,다리 라인을 경쾌하게 살려주는 미니 기장,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S934,리본 플레어 미니원피스,126000,블랙,MINI,AUG2026-46,사랑스러운 무드를 더하는 리본 디테일,다리 라인을 경쾌하게 살려주는 미니 기장,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
TIA-S935,드레이프 오프숄더 미디원피스,129000,아이보리,MIDI,AUG2026-47,어깨선을 드러내는 오프숄더 디자인,흐르듯 떨어지는 드레이프 라인,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
TIA-S936,드레이프 오프숄더 미디원피스,129000,라벤더,MIDI,AUG2026-47,어깨선을 드러내는 오프숄더 디자인,흐르듯 떨어지는 드레이프 라인,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
TIA-S937,드레이프 오프숄더 미디원피스,129000,블랙,MIDI,AUG2026-47,어깨선을 드러내는 오프숄더 디자인,흐르듯 떨어지는 드레이프 라인,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
TIA-S938,브라운 셔링 홀터 미니원피스,63000,브라운,MINI,,목선을 길어 보이게 잡아주는 홀터넥,바디 라인을 자연스럽게 잡아주는 셔링,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
PEARL-S911,블루 버클라인 미니원피스,162000,블루,MINI,AUG2026-08,다리 라인을 경쾌하게 살려주는 미니 기장,,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
PEARL-S912,블랙 버클라인 미니원피스,162000,블랙,MINI,AUG2026-08,다리 라인을 경쾌하게 살려주는 미니 기장,,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
PEARL-S913,아이보리 버튼 슬림 미디원피스,135000,아이보리,MIDI,AUG2026-09,차분하고 고급스러운 분위기의 미디 기장,,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
PEARL-S914,핑크 버튼 슬림 미디원피스,135000,핑크,MIDI,AUG2026-09,차분하고 고급스러운 분위기의 미디 기장,,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
PEARL-S915,아이보리 버클포인트 미니원피스,135000,아이보리,MINI,AUG2026-10,다리 라인을 경쾌하게 살려주는 미니 기장,,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
PEARL-S916,블랙 버클포인트 미니원피스,135000,블랙,MINI,AUG2026-10,다리 라인을 경쾌하게 살려주는 미니 기장,,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
HEP-S884,브라운 버클 슬릿 미니원피스,126000,브라운,MINI,AUG2026-02,다리 라인을 살려주는 슬릿 포인트,다리 라인을 경쾌하게 살려주는 미니 기장,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
HEP-S885,그레이 버클 슬릿 미니원피스,126000,그레이,MINI,AUG2026-02,다리 라인을 살려주는 슬릿 포인트,다리 라인을 경쾌하게 살려주는 미니 기장,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
HIYA-S882,핑크 트위드 퍼프 투피스,162000,핑크,TWO PIECE,AUG2026-03,고급스러운 질감을 더하는 트위드 소재감,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
HIYA-S883,민트 트위드 퍼프 투피스,162000,민트,TWO PIECE,AUG2026-03,고급스러운 질감을 더하는 트위드 소재감,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,코디 고민 없이 완성도 있는 스타일을 원할 때 추천드립니다.
