구분,상품코드,쇼룸상품명,스마트스토어명,판매가,전시/판매상태,배치메모
매칭,N260037,리본 타이 오프숄더 미디원피스,그레이 리본 타이 오프숄더 미디원피스,126000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260013,블랙 오프숄더 랩스커트 투피스,오프숄더 블라우스 리본 랩 스커트,81000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260012,핑크 오프숄더 랩스커트 투피스,핑크 오프숄더 랩스커트 투피스,153000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260011,화이트 오프숄더 랩스커트 투피스,화이트 오프숄더 랩스커트,153000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260008,오프숄더 튤스커트 투피스,화이트 오프숄더 튤스커트 투피스 | 화이트 망사 플레어 미니스커트 | 러플 오프숄더 크롭 블라우스,156000 / 81000 / 72000,전시중/판매중,첫화면 SmartStore BEST
매칭,S726,골드버튼 플리츠 투피스,골드버튼 플리츠 투피스,162000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260003,블랙 러플 브이넥 크롭 투피스,블랙 러플 브이넥 크롭 투피스,171000,전시중/판매중,첫화면 SmartStore BEST
매칭,N260002,핑크 러플 브이넥 크롭 투피스,핑크 러플 브이넥 크롭 투피스,171000,전시중/판매중,첫화면 SmartStore BEST
매칭,N260001,화이트 러플 브이넥 크롭 투피스,화이트 러플 브이넥 크롭 투피스,171000,전시중/판매중,첫화면 SmartStore BEST
매칭,N260006,러플 오프숄더 크롭 투피스,러플 오프숄더 크롭 투피스,153000,전시중/판매중,첫화면 SmartStore BEST
코드없음,,,핑크 러플 브이넥 크롭 투피스,154000,전시중/판매중,판매자상품코드 공란
