상품코드,상품명,가격,컬러,카테고리,메인카피,추천포인트1,추천포인트2,추천포인트3
TIA-S872,블랙 셔링 홀터 미니원피스,54000,블랙,MINI,블랙 셔링 홀터 미니원피스입니다.,목선과 어깨 라인을 살려주는 홀터 디자인,바디 라인을 자연스럽게 잡아주는 셔링/드레이프 디테일,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S873,화이트 트위드 홀터 투피스,320000,아이보리,TWO PIECE,화이트 트위드 홀터 투피스입니다.,목선과 어깨 라인을 살려주는 홀터 디자인,고급스러운 분위기를 더하는 트위드 소재감,상하의가 함께 구성되어 코디가 쉬운 투피스 구성
TIA-S874,베이지 진주라인 트위드 미니원피스,237000,베이지,MINI,베이지 진주라인 트위드 미니원피스입니다.,고급스러운 분위기를 더하는 트위드 소재감,시선을 잡아주는 큐빅/진주 장식 포인트,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S875,스트랩 플리츠 미니원피스,,라벤더핑크 / 핑크,MINI,스트랩 플리츠 미니원피스입니다.,움직일 때 라인이 예쁘게 퍼지는 플레어 실루엣,다리 라인을 경쾌하게 살려주는 미니 기장,
TIA-S876,세피아 쉬폰 투피스,,베이지 / 아이보리,TWO PIECE,세피아 쉬폰 투피스입니다.,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,,
TIA-S877,진주스트랩 캉캉 미니원피스,300000,아이보리,MINI,진주스트랩 캉캉 미니원피스입니다.,시선을 잡아주는 큐빅/진주 장식 포인트,다리 라인을 경쾌하게 살려주는 미니 기장,
TIA-S891,핑크 드레이프 오프숄더 미니원피스,68000,베이지,MINI,핑크 드레이프 오프숄더 미니원피스입니다.,어깨선을 여성스럽게 드러내는 오프숄더 라인,바디 라인을 자연스럽게 잡아주는 셔링/드레이프 디테일,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S892,아이보리 진주라인 트위드 미니원피스,232000,아이보리,MINI,아이보리 진주라인 트위드 미니원피스입니다.,고급스러운 분위기를 더하는 트위드 소재감,시선을 잡아주는 큐빅/진주 장식 포인트,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S893,핑크 진주라인 트위드 미니원피스,232000,핑크,MINI,핑크 진주라인 트위드 미니원피스입니다.,고급스러운 분위기를 더하는 트위드 소재감,시선을 잡아주는 큐빅/진주 장식 포인트,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S894,화이트 블랙리본 플리츠 롱드레스,86000,아이보리,LONG,화이트 블랙리본 플리츠 롱드레스입니다.,움직일 때 라인이 예쁘게 퍼지는 플레어 실루엣,러블리한 분위기를 더하는 리본 디테일,우아하게 떨어지는 롱 실루엣
TIA-S895,핑크 오프숄더 머메이드 투피스,144000,아이보리,TWO PIECE,핑크 오프숄더 머메이드 투피스입니다.,어깨선을 여성스럽게 드러내는 오프숄더 라인,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,
TIA-S896,화이트 트위드 버튼 미니원피스,88000,아이보리,MINI,화이트 트위드 버튼 미니원피스입니다.,고급스러운 분위기를 더하는 트위드 소재감,다리 라인을 경쾌하게 살려주는 미니 기장,
TIA-S897,민트 프릴카라 미니 투피스,88000,민트,TWO PIECE,민트 프릴카라 미니 투피스입니다.,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,,
TIA-S898,그레이 프릴카라 미니 투피스,88000,그레이,TWO PIECE,그레이 프릴카라 미니 투피스입니다.,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,,
TIA-S899,블랙 프릴카라 미니 투피스,88000,블랙,TWO PIECE,블랙 프릴카라 미니 투피스입니다.,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,,
TIA-S900,화이트 큐빅 오프숄더 미니원피스,81000,아이보리,MINI,화이트 큐빅 오프숄더 미니원피스입니다.,어깨선을 여성스럽게 드러내는 오프숄더 라인,시선을 잡아주는 큐빅/진주 장식 포인트,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S901,프리미엄 큐빅 오프숄더 미니원피스,104000,아이보리,MINI,프리미엄 큐빅 오프숄더 미니원피스입니다.,어깨선을 여성스럽게 드러내는 오프숄더 라인,시선을 잡아주는 큐빅/진주 장식 포인트,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S902,소라배색 카라 미니원피스,72000,확인 필요,MINI,소라배색 카라 미니원피스입니다.,다리 라인을 경쾌하게 살려주는 미니 기장,,
TIA-S903,그레이 꼬임 니트 미니원피스,63000,그레이,MINI,그레이 꼬임 니트 미니원피스입니다.,다리 라인을 경쾌하게 살려주는 미니 기장,,
TIA-S904,그레이 꼬임 니트 롱원피스,72000,모카,LONG,그레이 꼬임 니트 롱원피스입니다.,우아하게 떨어지는 롱 실루엣,,
TIA-S905,화이트 리본 쇼츠 투피스,320000,아이보리,TWO PIECE,화이트 리본 쇼츠 투피스입니다.,러블리한 분위기를 더하는 리본 디테일,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,
TIA-S906,다크그레이 리본 쇼츠 투피스,320000,다크그레이,TWO PIECE,다크그레이 리본 쇼츠 투피스입니다.,러블리한 분위기를 더하는 리본 디테일,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,
TIA-S921,화이트 블랙리본 레이스 투피스,109000,아이보리/블랙,TWO PIECE,화이트 블랙리본 레이스 투피스입니다.,여성스러운 무드를 살려주는 레이스 포인트,러블리한 분위기를 더하는 리본 디테일,상하의가 함께 구성되어 코디가 쉬운 투피스 구성
TIA-S922,블랙 화이트리본 레이스 투피스,109000,블랙/아이보리,TWO PIECE,블랙 화이트리본 레이스 투피스입니다.,여성스러운 무드를 살려주는 레이스 포인트,러블리한 분위기를 더하는 리본 디테일,상하의가 함께 구성되어 코디가 쉬운 투피스 구성
TIA-S923,핑크 블랙리본 레이스 투피스,109000,핑크,TWO PIECE,핑크 블랙리본 레이스 투피스입니다.,여성스러운 무드를 살려주는 레이스 포인트,러블리한 분위기를 더하는 리본 디테일,상하의가 함께 구성되어 코디가 쉬운 투피스 구성
TIA-S924,화이트 브로치 카라 투피스,100000,화이트,TWO PIECE,화이트 브로치 카라 투피스입니다.,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,,
TIA-S925,베이지 브로치 카라 투피스,100000,크림/베이지,TWO PIECE,베이지 브로치 카라 투피스입니다.,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,,
TIA-S926,블랙 브로치 카라 투피스,100000,블랙,TWO PIECE,블랙 브로치 카라 투피스입니다.,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,,
TIA-S927,베이지 시퀸 카라 투피스,330000,확인 필요,TWO PIECE,베이지 시퀸 카라 투피스입니다.,조명 아래 은은하게 빛나는 시퀸 포인트,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,
TIA-S928,화이트 체인 프린트 나시탑 세트,88000,아이보리,TWO PIECE,화이트 체인 프린트 나시탑 세트입니다.,단독으로도 포인트가 되는 프린트 디자인,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,
TIA-S929,블랙 체인 프린트 나시탑 세트,88000,블랙/베이지,TWO PIECE,블랙 체인 프린트 나시탑 세트입니다.,단독으로도 포인트가 되는 프린트 디자인,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,
TIA-S930,소라 도트 프린트 나시탑 세트,88000,도트/아이보리·소라·핑크,TWO PIECE,소라 도트 프린트 나시탑 세트입니다.,단독으로도 포인트가 되는 프린트 디자인,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,
TIA-S931,화이트 리본 플레어 미니원피스,126000,아이보리,MINI,화이트 리본 플레어 미니원피스입니다.,움직일 때 라인이 예쁘게 퍼지는 플레어 실루엣,러블리한 분위기를 더하는 리본 디테일,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S932,옐로우 리본 플레어 미니원피스,126000,옐로우,MINI,옐로우 리본 플레어 미니원피스입니다.,움직일 때 라인이 예쁘게 퍼지는 플레어 실루엣,러블리한 분위기를 더하는 리본 디테일,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S933,소라 리본 플레어 미니원피스,126000,소라,MINI,소라 리본 플레어 미니원피스입니다.,움직일 때 라인이 예쁘게 퍼지는 플레어 실루엣,러블리한 분위기를 더하는 리본 디테일,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S934,블랙 리본 플레어 미니원피스,126000,블랙,MINI,블랙 리본 플레어 미니원피스입니다.,움직일 때 라인이 예쁘게 퍼지는 플레어 실루엣,러블리한 분위기를 더하는 리본 디테일,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S935,화이트 드레이프 오프숄더 미디원피스,129000,아이보리,MIDI,화이트 드레이프 오프숄더 미디원피스입니다.,어깨선을 여성스럽게 드러내는 오프숄더 라인,바디 라인을 자연스럽게 잡아주는 셔링/드레이프 디테일,차분하고 세련된 무드의 미디 기장
TIA-S936,라벤더 드레이프 오프숄더 미디원피스,129000,라벤더,MIDI,라벤더 드레이프 오프숄더 미디원피스입니다.,어깨선을 여성스럽게 드러내는 오프숄더 라인,바디 라인을 자연스럽게 잡아주는 셔링/드레이프 디테일,차분하고 세련된 무드의 미디 기장
TIA-S937,블랙 드레이프 오프숄더 미디원피스,129000,블랙,MIDI,블랙 드레이프 오프숄더 미디원피스입니다.,어깨선을 여성스럽게 드러내는 오프숄더 라인,바디 라인을 자연스럽게 잡아주는 셔링/드레이프 디테일,차분하고 세련된 무드의 미디 기장
TIA-S938,브라운 셔링 홀터 미니원피스,63000,브라운,MINI,브라운 셔링 홀터 미니원피스입니다.,목선과 어깨 라인을 살려주는 홀터 디자인,바디 라인을 자연스럽게 잡아주는 셔링/드레이프 디테일,다리 라인을 경쾌하게 살려주는 미니 기장
PEARL-S911,블루 버클라인 미니원피스,162000,블루,MINI,블루 버클라인 미니원피스입니다.,다리 라인을 경쾌하게 살려주는 미니 기장,,
PEARL-S912,블랙 버클라인 미니원피스,162000,블랙,MINI,블랙 버클라인 미니원피스입니다.,다리 라인을 경쾌하게 살려주는 미니 기장,,
PEARL-S913,아이보리 버튼 슬림 미디원피스,135000,아이보리,MIDI,아이보리 버튼 슬림 미디원피스입니다.,차분하고 세련된 무드의 미디 기장,,
PEARL-S914,핑크 버튼 슬림 미디원피스,135000,핑크,MIDI,핑크 버튼 슬림 미디원피스입니다.,차분하고 세련된 무드의 미디 기장,,
PEARL-S915,아이보리 버클포인트 미니원피스,135000,아이보리,MINI,아이보리 버클포인트 미니원피스입니다.,다리 라인을 경쾌하게 살려주는 미니 기장,,
PEARL-S916,블랙 버클포인트 미니원피스,135000,블랙,MINI,블랙 버클포인트 미니원피스입니다.,다리 라인을 경쾌하게 살려주는 미니 기장,,
HEP-S884,브라운 버클 슬릿 미니원피스,126000,브라운,MINI,브라운 버클 슬릿 미니원피스입니다.,다리 라인을 경쾌하게 살려주는 미니 기장,,
HEP-S885,그레이 버클 슬릿 미니원피스,126000,그레이,MINI,그레이 버클 슬릿 미니원피스입니다.,다리 라인을 경쾌하게 살려주는 미니 기장,,
HIYA-S882,핑크 트위드 퍼프 투피스,162000,핑크,TWO PIECE,핑크 트위드 퍼프 투피스입니다.,고급스러운 분위기를 더하는 트위드 소재감,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,
HIYA-S883,민트 트위드 퍼프 투피스,162000,민트,TWO PIECE,민트 트위드 퍼프 투피스입니다.,고급스러운 분위기를 더하는 트위드 소재감,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,
