체크번호,매칭된상품코드,현재상품명,거래처명,거래처상품번호,현재카테고리,현재색상,대표이미지,NEW태그현재여부,우선노출현재여부,수정제안_NEW태그,수정제안_priority,수정제안_mainDisplay,수정제안_featured,매칭신뢰도,확인필요사항,검수상태
Jessica.J 317,JES-317,레이스 프릴 벨트 원피스,제시카,Jessica.J 317,MINI,블랙,assets/JES-317_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 318,JES-318,버튼 스커트 원피스,제시카,Jessica.J 318,MINI,블랙+베이지,assets/JES-318_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 319,JES-319,버튼 머메이드 원피스,제시카,Jessica.J 319,MINI,핑크,assets/JES-319_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 320,JES-320,카라 배색 원피스,제시카,Jessica.J 320,MINI,블랙+화이트,assets/JES-320_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 321,JES-321,레몬 배색라인 원피스,제시카,Jessica.J 321,MINI,레몬옐로우,assets/JES-321_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 323,JES-323,더블버튼 스퀘어넥 원피스,제시카,Jessica.J 323,MINI,블랙,assets/JES-323_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 324,JES-324,리본버튼 원피스,제시카,Jessica.J 324,MINI,블루그레이,assets/JES-324_01.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 325,JES-325,생산중 미니 원피스,제시카,Jessica.J 325,MINI,확인필요,,Y,Y,"NEW, 제시카신상, 2026봄신상, 생산중",8,False,False,높음: 생산중 상품 추가 완료,생산중: 이미지/상세 정보 확정 후 업데이트,확인필요
Jessica.J 326,JES-326,생산중 미니 원피스,제시카,Jessica.J 326,MINI,확인필요,,Y,Y,"NEW, 제시카신상, 2026봄신상, 생산중",8,False,False,높음: 생산중 상품 추가 완료,생산중: 이미지/상세 정보 확정 후 업데이트,확인필요
Jessica.J 327,JES-327,생산중 미니 원피스,제시카,Jessica.J 327,MINI,확인필요,,Y,Y,"NEW, 제시카신상, 2026봄신상, 생산중",8,False,False,높음: 생산중 상품 추가 완료,생산중: 이미지/상세 정보 확정 후 업데이트,확인필요
Jessica.J 328,JES-328,생산중 미니 원피스,제시카,Jessica.J 328,MINI,확인필요,,Y,Y,"NEW, 제시카신상, 2026봄신상, 생산중",8,False,False,높음: 생산중 상품 추가 완료,생산중: 이미지/상세 정보 확정 후 업데이트,확인필요
Jessica.J 329,JES-329,생산중 미니 원피스,제시카,Jessica.J 329,MINI,확인필요,,Y,Y,"NEW, 제시카신상, 2026봄신상, 생산중",8,False,False,높음: 생산중 상품 추가 완료,생산중: 이미지/상세 정보 확정 후 업데이트,확인필요
Jessica.J 331,JES-331,생산중 미니 원피스,제시카,Jessica.J 331,MINI,확인필요,,Y,Y,"NEW, 제시카신상, 2026봄신상, 생산중",8,False,False,높음: 생산중 상품 추가 완료,생산중: 이미지/상세 정보 확정 후 업데이트,확인필요
Jessica.J 333,JES-333,생산중 미니 원피스,제시카,Jessica.J 333,MINI,확인필요,,Y,Y,"NEW, 제시카신상, 2026봄신상, 생산중",8,False,False,높음: 생산중 상품 추가 완료,생산중: 이미지/상세 정보 확정 후 업데이트,확인필요
Jessica.J 334,JES-334,생산중 미니 원피스,제시카,Jessica.J 334,MINI,확인필요,,Y,Y,"NEW, 제시카신상, 2026봄신상, 생산중",8,False,False,높음: 생산중 상품 추가 완료,생산중: 이미지/상세 정보 확정 후 업데이트,확인필요
Jessica.J 335,JES-335,생산중 미니 원피스,제시카,Jessica.J 335,MINI,확인필요,,Y,Y,"NEW, 제시카신상, 2026봄신상, 생산중",8,False,False,높음: 생산중 상품 추가 완료,생산중: 이미지/상세 정보 확정 후 업데이트,확인필요
Jessica.J 336,JES-336,생산중 미니 원피스,제시카,Jessica.J 336,MINI,확인필요,,Y,Y,"NEW, 제시카신상, 2026봄신상, 생산중",8,False,False,높음: 생산중 상품 추가 완료,생산중: 이미지/상세 정보 확정 후 업데이트,확인필요
Jessica.J 339,JES-339,생산중 미니 원피스,제시카,Jessica.J 339,MINI,확인필요,,Y,Y,"NEW, 제시카신상, 2026봄신상, 생산중",8,False,False,높음: 생산중 상품 추가 완료,생산중: 이미지/상세 정보 확정 후 업데이트,확인필요
Jessica.J 341,JES-341,생산중 미니 원피스,제시카,Jessica.J 341,MINI,확인필요,,Y,Y,"NEW, 제시카신상, 2026봄신상, 생산중",8,False,False,높음: 생산중 상품 추가 완료,생산중: 이미지/상세 정보 확정 후 업데이트,확인필요
Jessica.J 342,JES-342,생산중 미니 원피스,제시카,Jessica.J 342,MINI,확인필요,,Y,Y,"NEW, 제시카신상, 2026봄신상, 생산중",8,False,False,높음: 생산중 상품 추가 완료,생산중: 이미지/상세 정보 확정 후 업데이트,확인필요
