code,상품명,현재태그,제안태그,A라인적용여부,슬림핏적용여부,예외여부,예외사유,검수상태,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수,A라인 검색노출확인,슬림핏 검색노출확인,추천키워드연결확인,비고
ANC-4011,드레이프셔링 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 드레이프 슬림글램 / 원피스 셔링 드레이프 슬림글램,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 드레이프 슬림글램 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,재검수,예,예,A라인 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,11,검수필요,재검수,적용후보,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4012,더블버튼 플레어 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 더블버튼 버튼 플레어 러블리데일리 / 원피스 더블버튼 버튼 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 더블버튼 버튼 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,12,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4013,리본블라우스 셔링 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 리본 셔링 러블리데일리 / 원피스 리본 셔링 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 리본 셔링 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,예,예,아니오,,승인완료,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,13,검수필요,적용후보,승인,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영 / 사용자 지정 코드 슬림핏 확정
ANC-4014,더블버튼 레이스 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 더블버튼 버튼 러블리데일리 / 원피스 레이스 더블버튼 버튼 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 더블버튼 버튼 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,14,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4015,랩카라 셔링 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 카라 셔링 랩 슬림글램 / 원피스 카라 셔링 랩 슬림글램,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 카라 셔링 랩 슬림글램 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,재검수,예,예,A라인 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,15,검수필요,재검수,적용후보,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4016,스트라이프니트 플레어 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 스트라이프 러블리데일리 / 원피스 플레어 스트라이프 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 스트라이프 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,16,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4017,레이스시스루 셔링 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 셔링 시스루 러블리데일리 / 원피스 레이스 셔링 시스루 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 셔링 시스루 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,예,예,아니오,,승인완료,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,17,검수필요,적용후보,승인,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영 / 사용자 지정 코드 슬림핏 확정
ANC-4018,숄더포인트 플레어 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 러블리데일리 / 원피스 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,18,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4019,드레이프셔링 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 드레이프 슬림글램 / 원피스 셔링 드레이프 슬림글램,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 드레이프 슬림글램 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,재검수,예,예,A라인 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,19,검수필요,재검수,적용후보,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4020,블라우스배색 플레어 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / 원피스 플레어 배색 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 배색 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,예,20,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4021,랩포인트 셔링 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 랩 슬림글램 / 원피스 셔링 랩 슬림글램,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 랩 슬림글램 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,재검수,예,예,A라인 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,21,검수필요,재검수,적용후보,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4022,스퀘어넥 버튼 플레어 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 스퀘어넥 버튼 플레어 러블리데일리 / 원피스 스퀘어넥 버튼 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 스퀘어넥 버튼 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,22,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4023,러플숄더 셔링 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 러플 셔링 러블리데일리 / 원피스 러플 셔링 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 러플 셔링 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,예,예,아니오,,승인완료,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,23,검수필요,적용후보,승인,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영 / 사용자 지정 코드 슬림핏 확정
ANC-4024,빅리본 플레어 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 리본 빅리본 플레어 러블리데일리 / 원피스 리본 빅리본 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 리본 빅리본 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,24,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4025,셔츠카라 랩스커트 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 카라 셔츠카라 랩 슬림글램포인트 / 원피스 카라 셔츠카라 랩 슬림글램포인트,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 카라 셔츠카라 랩 슬림글램포인트 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,재검수,예,예,A라인 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,25,검수필요,재검수,적용후보,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4026,더블버튼 플레어 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 더블버튼 버튼 플레어 러블리데일리 / 원피스 더블버튼 버튼 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 더블버튼 버튼 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,26,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4027,프릴숄더 셔링 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 프릴 셔링 러블리데일리 / 원피스 프릴 셔링 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 프릴 셔링 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 프릴 / 셔링 / 미니원피스,예,예,아니오,,승인완료,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,27,검수필요,적용후보,승인,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영 / 사용자 지정 코드 슬림핏 확정
ANC-4028,배색라인 플레어 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / 원피스 플레어 배색 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 배색 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,28,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4029,스트라이프 리본 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 리본 스트라이프 러블리데일리 / 원피스 리본 스트라이프 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 리본 스트라이프 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,29,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4030,레이스숄더 플레어 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / 원피스 레이스 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,30,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4031,사이드드레이프 언발 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 드레이프 언발 슬림글램포인트 / 원피스 드레이프 언발 슬림글램포인트,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 드레이프 언발 슬림글램포인트 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,재검수,예,예,A라인 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,31,검수필요,재검수,적용후보,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4032,레이스플레어 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / 원피스 레이스 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,32,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4033,스퀘어넥 버튼 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 스퀘어넥 버튼 데일리페미닌 / 원피스 스퀘어넥 버튼 데일리페미닌,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 스퀘어넥 버튼 데일리페미닌 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,33,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4034,프릴라인 플레어 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 프릴 플레어 러블리데일리 / 원피스 프릴 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 프릴 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 프릴 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,34,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4035,오프숄더 리본 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 오프숄더 리본 러블리데일리 / 원피스 오프숄더 리본 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 오프숄더 리본 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,35,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
ANC-4036,카라버튼 플레어 원피스,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 카라 버튼 플레어 러블리데일리 / 원피스 카라 버튼 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 카라 버튼 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,예,재검수,예,슬림핏 재검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,36,검수필요,적용후보,재검수,미확인,미확인,미확인,검색 인덱스는 tags/styleTags/fit 기반. 승인 후 products.json 반영
